CustomerID,Recency,Frequency,MonetaryTotal,MonetaryAvg,MonetaryStd,MonetaryMin,MonetaryMax,TotalQuantity,AvgQtyPerTrans,MinQuantity,MaxQuantity,CustomerTenure,FirstPurchase,PreferredDay,PreferredHour,PreferredMonth,WeekendRatio,AvgDaysBetween,UniqueProducts,UniqueDesc,AvgProdPerTrans,UniqueCountries,NegQtyCount,ZeroPriceCount,CancelledTrans,ReturnRatio,TotalTrans,UniqueInvoices,AvgLinesPerInv,Age,SupportTickets,Satisfaction,Churn,RFMSegment,AgeCategory,SpendingCat,CustomerType,FavoriteSeason,PreferredTime,Region,LoyaltyLevel,ChurnRisk,WeekendPref,BasketSize,ProdDiversity,Gender,AccountStatus,Country,NewsletterSubscribed,RegistrationDate,LastLoginIP
25795,344,24,3421.91,288.52,84.88,-2700.39,6468.06,1438,625.66,-17,422,583,525,5,11,7,0.4481,70.71,727,299,47.6,2,86,31,11,0.122,5887,17,43.91,,10.0,4.7,0,Champions,55-64,Medium,Occasionnel,Hiver,Après-midi,Unknown,Ancien,Faible,Semaine,Inconnu,Modéré,M,Closed,Denmark,Yes,01/07/12,121.250.135.46
10860,301,47,12916.22,122.98,482.83,-3518.66,9305.62,92095,513.42,-5025,5302,450,541,3,22,6,0.3116,274.39,954,282,84.82,2,66,11,2,0.3698,8969,218,65.16,68.5,6.0,2.3,0,Potentiels,18-24,High,Occasionnel,Printemps,Midi,Autre,Inconnu,Moyen,Semaine,Moyen,Modéré,F,Active,United Kingdom,Yes,03/03/16,165.198.94.189
86820,288,31,1094.06,398.01,7.43,1538.3,4283.43,22212,533.61,-3894,3267,378,109,0,10,1,0.963,174.18,820,12,9.82,3,0,36,17,0.7843,7546,228,80.44,76.9,13.0,0.4,0,Dormants,25-34,VIP,Régulier,Hiver,Après-midi,Europe_N,Nouveau,Moyen,Weekend,Petit,Spécialisé,Unknown,Active,Switzerland,Yes,03/01/15,227.195.189.95
64886,0,41,1452.31,245.81,240.56,1812.09,3313.94,49362,478.63,-3824,7018,9,211,0,12,5,0.1393,58.3,791,639,39.6,4,62,39,20,0.4944,3449,292,24.91,69.7,7.0,3.1,0,Dormants,18-24,Medium,Régulier,Automne,Matin,Europe_N,Établi,Faible,Inconnu,Inconnu,Spécialisé,F,Active,United Kingdom,Yes,04/19/2012,115.22.134.225
16265,146,46,14676.85,170.35,166.68,2521.55,9772.42,71177,674.07,-572,1658,673,437,0,0,1,0.0438,93.73,243,872,40.88,5,75,46,34,0.6992,7314,419,91.55,,1.0,0.5,0,Potentiels,Inconnu,Low,Occasionnel,Hiver,Nuit,UK,Inconnu,Élevé,Semaine,Grand,Modéré,M,Suspended,United Kingdom,Yes,26/03/22,120.134.115.137
92386,286,50,9944.5,57.88,224.56,35.77,8634.43,15983,572.37,-5947,2101,725,321,0,18,1,0.0091,183.99,798,699,50.09,5,61,6,36,0.0047,7823,424,22.88,,5.0,3.1,0,Fidèles,45-54,High,Hyperactif,Hiver,Après-midi,Autre,Nouveau,Faible,Semaine,Grand,Spécialisé,M,Active,Netherlands,Yes,19/06/19,145.31.77.49
47194,141,26,12626.75,123.23,285.33,3940.55,3230.44,13026,987.01,-375,7130,515,713,6,20,6,0.775,7.17,70,69,11.51,1,60,50,18,0.073,1556,407,86.75,,13.0,2.6,1,Fidèles,Inconnu,VIP,Hyperactif,Été,Matin,UK,Établi,Faible,Weekend,Inconnu,Modéré,F,Active,Finland,Yes,02/09/10,22.176.211.116
97498,52,49,4527.11,474.89,217.79,4363.43,4637.81,49998,826.04,-5580,5110,223,83,1,3,8,0.0567,154.81,71,841,11.16,4,39,44,24,0.6812,5690,201,51.76,,999.0,3.6,0,Dormants,35-44,Low,Occasionnel,Automne,Nuit,Europe_N,Nouveau,Élevé,Weekend,Grand,Modéré,F,Active,Belgium,Yes,27/11/14,142.31.198.214
54131,303,50,9985.5,156.02,207.42,3073.71,4150.78,54744,265.43,-5472,3940,380,375,2,4,1,0.5386,247.49,623,523,42.23,5,94,30,17,0.2902,3368,418,52.03,68.0,13.0,1.8,0,Fidèles,35-44,Medium,Occasionnel,Été,Après-midi,Europe_C,Jeune,Moyen,Weekend,Inconnu,Modéré,F,Active,Denmark,Yes,05/02/2021,248.243.120.243
70263,68,5,8710.75,88.59,366.36,1355.93,1490.96,56013,726.03,-3683,685,540,52,1,22,2,0.3673,188.98,158,815,4.27,4,28,0,39,0.3882,578,442,38.03,71.5,7.0,0.7,1,Fidèles,65+,High,Occasionnel,Hiver,Matin,Asie,Nouveau,Faible,Inconnu,Moyen,Spécialisé,F,Suspended,Australia,Yes,08/06/2010,77.40.202.17
26023,360,20,8848.83,233.03,342.94,-1962.79,9578.19,50039,215.09,-6060,2227,301,495,4,16,5,0.1469,218.31,549,23,26.24,2,34,10,29,0.6421,5517,499,11.25,,12.0,1.2,0,Potentiels,25-34,Low,Régulier,Été,Soir,Europe_S,Nouveau,Moyen,Weekend,Petit,Explorateur,F,Suspended,USA,Yes,06/17/2014,129.75.61.229
51090,89,41,10079.25,157.01,416.64,4829.45,4043.12,48831,782.56,-23,4389,202,255,4,4,8,0.7406,119.22,816,337,20.92,2,91,44,41,0.112,2523,82,35.36,,11.0,3.4,0,Dormants,18-24,Medium,Nouveau,Hiver,Nuit,Europe_E,Jeune,Faible,Semaine,Petit,Explorateur,M,Suspended,United Kingdom,Yes,2022-03-23,45.85.108.98
77221,219,11,8418.07,22.4,124.98,-2258.64,8753.29,84172,148.41,-4848,2423,588,585,3,18,11,0.055,66.82,928,427,49.45,4,84,33,50,0.8327,5694,128,43.25,30.2,3.0,2.4,1,Fidèles,18-24,Medium,Régulier,Hiver,Matin,Europe_C,Nouveau,Faible,Semaine,Moyen,Explorateur,F,Suspended,Spain,Yes,2014-12-11,33.21.216.40
74820,191,33,6150.47,164.96,304.76,-2973.43,1893.56,33603,474.08,-6054,7227,570,219,0,2,4,0.3184,295.56,326,845,2.1,3,10,18,41,0.1444,46,80,48.42,21.1,11.0,2.7,0,Potentiels,55-64,Medium,Occasionnel,Hiver,Soir,UK,Établi,Élevé,Weekend,Moyen,Modéré,F,Active,Portugal,Yes,28/03/16,253.222.103.75
10769,62,50,3776.8,274.33,292.6,-578.46,5478.71,76758,790.82,-7486,1078,195,654,3,10,5,0.5622,330.56,35,209,67.9,5,89,10,33,0.7333,5725,189,74.17,65.0,2.0,1.6,0,Fidèles,Inconnu,Low,Nouveau,Automne,Après-midi,Autre,Nouveau,Moyen,Semaine,Petit,Spécialisé,M,Active,Australia,Yes,07/31/2013,214.132.163.34
69735,72,38,11413.01,278.1,184.87,-4431.59,239.61,66713,280.83,-773,3986,321,99,4,1,10,0.4024,186.42,480,215,85.7,5,10,32,9,0.2928,981,480,35.85,,4.0,4.2,0,Dormants,25-34,Low,Nouveau,Automne,Soir,UK,Nouveau,Élevé,Semaine,Grand,Modéré,M,Active,United Kingdom,Yes,2019-06-25,23.198.203.166
72955,160,27,3007.22,181.5,243.03,4784.94,7642.2,97452,837.28,-7780,3841,417,128,0,21,5,0.2591,111.34,460,635,70.97,2,62,32,21,0.26,5548,156,41.25,77.5,3.0,5.0,0,Potentiels,25-34,Low,Hyperactif,Hiver,Nuit,UK,Jeune,Faible,Semaine,Moyen,Modéré,F,Active,Australia,Yes,26/03/16,220.141.234.6
74925,168,34,10231.49,226.41,156.89,884.34,5809.14,12105,644.51,-1508,3317,618,218,6,13,3,0.926,186.59,836,423,81.99,1,68,7,49,0.8213,3295,316,90.7,,14.0,1.6,0,Dormants,18-24,Medium,Régulier,Printemps,Midi,Europe_N,Établi,Élevé,Weekend,Moyen,Explorateur,M,Active,United Kingdom,Yes,2014-10-30,202.214.57.212
77969,88,15,3116.66,482.93,70.92,569.52,6255.9,99048,398.12,-272,7317,341,476,5,5,6,0.931,320.83,416,73,64.69,5,55,44,3,0.5522,5989,160,75.5,68.0,11.0,3.6,1,Champions,65+,Low,Occasionnel,Hiver,Après-midi,Europe_C,Jeune,Moyen,Semaine,Moyen,Explorateur,M,Active,Finland,Yes,17/04/12,39.75.51.54
15311,175,32,9192.62,191.79,106.9,1557.96,517.21,66182,423.99,-7773,2844,388,457,2,18,5,0.4161,252.36,571,722,51.23,2,6,7,2,0.2055,2115,242,3.26,21.8,4.0,0.9,0,Fidèles,65+,Medium,Occasionnel,Été,Soir,Asie,Nouveau,Faible,Semaine,Moyen,Modéré,F,Active,Norway,Yes,10/07/18,145.51.146.176
93104,268,21,11079.71,132.82,52.76,-29.76,2110.38,51147,926.07,-5663,3440,8,21,4,0,2,0.3937,313.39,886,823,22.68,2,50,33,48,0.0025,8818,314,81.4,51.8,8.0,3.7,0,Champions,18-24,Low,Occasionnel,Printemps,Matin,Europe_C,Jeune,Faible,Semaine,Grand,Explorateur,Unknown,Pending,Sweden,Yes,2018-01-19,225.210.135.196
63707,72,46,2890.07,125.52,341.53,-4679.36,743.31,74400,218.57,-3612,4112,531,689,5,6,10,0.3074,119.86,419,786,28.68,4,94,39,48,0.973,3555,82,99.0,,13.0,2.2,0,Potentiels,65+,Low,Régulier,Été,Midi,Europe_N,Jeune,Faible,Semaine,Inconnu,Spécialisé,M,Active,United Kingdom,Yes,07/12/15,168.248.242.19
95305,244,5,429.12,231.59,330.36,1123.11,2889.14,45434,693.67,-1047,4272,148,559,3,1,4,0.8558,259.87,511,606,32.45,4,38,26,27,0.4314,7730,44,94.04,,10.0,3.0,0,Fidèles,35-44,Low,Régulier,Printemps,Midi,Europe_E,Nouveau,Moyen,Semaine,Moyen,Explorateur,M,Active,United Kingdom,Yes,04/21/2020,45.141.206.73
38693,76,6,1530.09,380.96,475.3,2161.74,6274.39,25515,707.59,-4736,5660,382,628,5,23,11,0.5679,238.36,368,938,4.76,4,41,28,21,0.3974,258,162,83.76,59.3,15.0,1.2,0,Potentiels,25-34,High,Nouveau,Hiver,Après-midi,Europe_N,Nouveau,Faible,Semaine,Petit,Explorateur,M,Active,Denmark,Yes,2012-10-19,159.205.19.202
81932,158,38,8892.95,106.96,364.84,-832.51,5661.86,88298,922.53,-7045,5526,528,328,3,18,4,0.0895,208.64,912,748,91.4,1,71,13,11,0.0503,4044,221,63.29,77.4,15.0,-1.0,1,Champions,35-44,High,Régulier,Automne,Soir,Unknown,Inconnu,Faible,Semaine,Petit,Modéré,M,Active,Spain,Yes,10/08/2011,228.169.121.25
35658,323,22,12666.42,356.1,26.02,2572.96,6121.5,57001,713.45,-6503,5587,11,690,4,0,7,0.8533,192.8,887,666,90.13,5,52,33,48,0.8944,6952,149,28.54,18.7,2.0,0.9,0,Potentiels,45-54,Low,Perdu,Automne,Nuit,Unknown,Nouveau,Moyen,Semaine,Moyen,Explorateur,M,Closed,Denmark,Yes,07/29/2016,191.243.137.190
94478,97,18,197.45,15.47,442.12,-2729.99,5492.51,57397,584.88,-6720,1904,475,479,1,8,7,0.5349,201.11,883,274,11.67,1,90,44,12,0.1406,253,124,65.79,,14.0,4.6,1,Champions,45-54,Medium,Occasionnel,Hiver,Soir,UK,Nouveau,Moyen,Weekend,Petit,Explorateur,Unknown,Active,Sweden,Yes,02/10/2018,6.172.155.159
28431,380,14,10879.34,212.37,431.34,-2787.23,2730.29,60415,902.62,-6022,4225,593,338,6,20,9,0.4156,310.13,207,725,56.11,1,20,36,40,0.3355,5701,1,69.86,62.3,13.0,0.3,0,Potentiels,Inconnu,High,Régulier,Automne,Soir,Europe_N,Inconnu,Moyen,Semaine,Moyen,Spécialisé,F,Active,Denmark,Yes,04/25/2014,72.251.50.116
12747,101,10,4790.44,389.05,221.66,-3385.83,2445.07,15960,829.3,-6471,3295,578,178,6,16,10,0.3379,334.34,361,640,47.3,4,29,0,32,0.4211,9405,183,28.87,72.9,1.0,1.4,0,Potentiels,18-24,High,Régulier,Hiver,Après-midi,Europe_S,Établi,Faible,Semaine,Moyen,Modéré,M,Closed,United Kingdom,Yes,24/07/11,35.153.226.164
69150,131,46,6917.19,172.67,292.93,-1280.05,1370.6,92143,717.06,-3517,4980,644,420,2,9,12,0.0994,41.19,436,233,68.66,2,77,8,46,0.8101,6297,208,26.28,30.0,1.0,2.8,0,Fidèles,55-64,High,Régulier,Hiver,Après-midi,Europe_E,Inconnu,Faible,Semaine,Petit,Modéré,M,Pending,Australia,Yes,2015-02-10,69.213.45.96
75725,101,13,13897.32,284.05,488.04,3470.12,8490.71,80838,33.55,-5338,5364,52,481,6,5,2,0.9567,207.6,578,41,60.7,3,0,9,18,0.3595,2125,433,40.3,,13.0,4.3,1,Fidèles,18-24,High,Régulier,Printemps,Matin,Europe_N,Jeune,Faible,Inconnu,Moyen,Modéré,M,Active,Finland,Yes,16/10/11,114.108.208.248
94654,18,31,4645.56,106.46,266.15,3279.12,6164.79,44778,374.15,-435,426,435,48,5,2,6,0.7412,335.22,774,938,13.31,2,23,29,40,0.5315,6847,97,64.47,18.5,8.0,2.9,1,Champions,25-34,Low,Régulier,Été,Nuit,Europe_S,Inconnu,Faible,Weekend,Petit,Spécialisé,F,Suspended,United Kingdom,Yes,2012-04-07,195.191.28.81
45773,81,30,6712.72,372.29,452.66,-1171.76,1865.11,29941,632.26,-5587,2402,205,29,6,19,2,0.1318,49.18,270,289,66.35,2,5,42,16,0.4287,8917,21,30.01,,6.0,-1.0,0,Potentiels,18-24,VIP,Nouveau,Hiver,Après-midi,Europe_S,Inconnu,Faible,Semaine,Petit,Modéré,F,Active,Australia,Yes,2016-03-27,17.159.206.69
77435,396,3,-287.92,30.88,41.52,891.19,1772.09,95857,522.73,-5295,750,53,84,5,23,9,0.5113,150.69,233,555,61.28,2,5,17,46,0.3118,4664,355,56.01,22.5,9.0,4.3,0,Dormants,35-44,High,Perdu,Hiver,Matin,UK,Établi,Élevé,Semaine,Inconnu,Modéré,M,Suspended,United Kingdom,Yes,08/03/18,200.14.88.98
66886,278,30,764.78,427.01,95.53,2208.16,8730.36,94849,320.0,-1567,4840,579,501,4,14,2,0.5556,32.51,669,270,53.59,2,68,16,33,0.9463,5875,439,90.02,40.6,11.0,3.0,0,Potentiels,18-24,Low,Occasionnel,Hiver,Midi,UK,Ancien,Critique,Semaine,Petit,Modéré,M,Suspended,United Kingdom,Yes,2018-04-21,225.102.29.127
76803,338,6,3508.17,103.11,220.38,-2587.93,7427.31,39955,145.28,-64,7494,489,545,6,20,6,0.1679,41.42,106,439,40.84,1,61,5,3,0.7969,9370,411,30.21,45.7,3.0,1.2,0,Dormants,35-44,Medium,Nouveau,Automne,Matin,Europe_E,Établi,Critique,Semaine,Moyen,Modéré,Unknown,Active,Portugal,Yes,09/13/2014,9.233.25.184
41551,364,29,-68.29,437.83,292.38,-3318.59,6593.99,77565,553.44,-524,7772,343,328,4,21,8,0.4272,330.0,666,314,95.54,4,34,10,38,0.1744,2203,404,96.63,,5.0,2.8,1,Dormants,45-54,Low,Régulier,Hiver,Nuit,Europe_N,Inconnu,Faible,Semaine,Moyen,Modéré,F,Suspended,United Kingdom,Yes,12/28/2015,181.101.140.188
21394,330,8,9286.32,179.5,408.11,4720.96,4068.64,55908,286.63,-555,5123,168,609,6,19,6,0.6457,162.86,18,510,85.09,4,78,23,7,0.5547,2842,223,47.86,,999.0,3.4,0,Fidèles,Inconnu,Medium,Hyperactif,Été,Matin,Unknown,Jeune,Élevé,Weekend,Moyen,Modéré,F,Active,United Kingdom,Yes,08/08/2011,211.237.203.63
79092,128,44,6109.17,362.73,494.13,1175.57,2619.76,63067,233.77,-4465,4575,160,433,3,5,12,0.284,251.39,495,394,58.92,2,34,35,32,0.7966,271,400,10.99,47.2,15.0,3.4,1,Potentiels,65+,Low,Occasionnel,Printemps,Matin,UK,Jeune,Faible,Semaine,Moyen,Explorateur,F,Active,United Kingdom,Yes,11/02/2013,175.15.123.190
13890,343,45,7996.25,163.02,194.43,4814.16,9794.51,54696,399.56,-3716,5072,526,587,0,2,3,0.3316,50.7,260,28,1.63,3,47,32,0,0.5798,8754,462,6.45,18.6,5.0,3.6,0,Fidèles,35-44,Low,Nouveau,Automne,Après-midi,UK,Ancien,Faible,Semaine,Petit,Modéré,F,Active,Germany,Yes,29/06/15,126.228.90.242
51606,309,43,2207.03,453.43,23.71,-1622.44,7972.4,17429,785.71,-7083,7249,702,686,0,9,5,0.122,8.01,485,270,43.78,5,71,32,4,0.4938,5510,48,34.53,,2.0,99.0,0,Dormants,65+,Medium,Nouveau,Automne,Nuit,Europe_N,Nouveau,Moyen,Inconnu,Moyen,Explorateur,M,Active,Portugal,Yes,2020-05-14,151.179.176.83
90038,88,44,4086.95,67.69,400.59,2030.32,3017.79,93048,488.37,-6799,44,526,248,0,11,4,0.4132,325.03,313,467,70.33,2,42,17,31,0.0721,3140,32,26.62,41.3,999.0,4.1,0,Potentiels,25-34,High,Occasionnel,Automne,Matin,Europe_E,Inconnu,Moyen,Inconnu,Grand,Spécialisé,F,Active,United Kingdom,Yes,01/21/2016,215.132.46.145
